species_name,total_trade_records,total_quantity,num_importers,num_exporters,num_trade_years,avg_quantity_per_trade,trade_diversity,trade_intensity,log_total_quantity,log_trade_records,pathogen_network_degree,avg_neighbor_degree,clustering_coefficient,max_degree_variant,is_pathogen_hub,is_high_risk_reservoir,normalized_degree,high_risk_label
Hylobates lar,545,1430.5,61,51,48,2.6247706422018346,3111,2.6247706422018346,7.266478124538169,6.302618975744905,63,314.04761904761904,0.6415770609318996,63,0,0,0.04219691895512391,1
Kinixys belliana,4294,261371.0,82,61,48,60.868886818816954,5002,60.868886818816954,12.473699958903229,8.365206834418355,0,0.0,0.0,0,0,0,0.0,0
Kinixys homeana,3662,182813.0,66,35,45,49.92162752594211,2310,49.92162752594211,12.116224521502856,8.206037762778815,0,0.0,0.0,0,0,0,0.0,0
Kobus leche,37353,53885.57218,137,57,49,1.4426035975691378,7809,1.4426035975691378,10.894636601185058,10.528195279873552,69,355.6521739130435,1.0,69,0,0,0.046215673141326186,1
Lemur catta,2983,26743.3,101,61,49,8.965236339255782,6161,8.965236339255782,10.194076645506359,8.001019961323651,324,513.070987654321,0.7666169781752857,324,0,0,0.21701272605492297,1
Leopardus geoffroyi,826,618391.0,42,39,46,748.6573849878935,1638,748.6573849878935,13.334877839561063,6.717804695023691,525,647.3180952380952,1.0,525,0,1,0.35164099129269927,1
Leopardus jacobita,35,652.3,7,9,10,18.637142857142855,63,18.637142857142855,6.482036441846705,3.58351893845611,0,0.0,0.0,0,0,0,0.0,0
Leopardus tigrinus,457,483595.0,42,44,44,1058.1947483588622,1848,1058.1947483588622,13.089005126389974,6.126869184114185,0,0.0,0.0,0,0,0,0.0,0
Lophophorus impejanus,787,4313.0,77,32,48,5.480304955527319,2464,5.480304955527319,8.369620826949102,6.669498089857879,268,569.955223880597,1.0,268,0,0,0.17950435365036838,1
Lophorina superba,106,871.0,22,12,36,8.216981132075471,264,8.216981132075471,6.77078942390898,4.672828834461906,0,0.0,0.0,0,0,0,0.0,0
Lophura edwardsi,354,1132.0,65,25,44,3.1977401129943503,1625,3.1977401129943503,7.0326242610280065,5.872117789475416,0,0.0,0.0,0,0,0,0.0,0
Macaca sylvanus,351,3367.93,49,35,43,9.595242165242166,1715,9.595242165242166,8.122350465511857,5.863631175598097,924,473.4718614718615,0.4445929657197263,924,1,1,0.6188881446751507,1
Malayopython timoriensis,389,3804.0,29,13,43,9.77892030848329,377,9.77892030848329,8.244071270295786,5.966146739123692,0,0.0,0.0,0,0,0,0.0,0
Microcebus murinus,466,28787.39625,33,21,44,61.775528433476396,693,61.775528433476396,10.267727676948695,6.1463292576688975,0,0.0,0.0,0,0,0,0.0,0
